guildID,warningID,version,user,userID,reason,permanent,void,moderatorID,modNote,createdAt,validUntil
120330239996854274,2,1,Gnawms,604369919949406238,Posting NSFW Content in #newhome.,false,false,,,2017-05-15T00:00:00.000Z,
120330239996854274,3,1,Cashspticeye,266729524366934017,Continuing to ask 'join hotel room' after being asked to stop,false,false,,,2017-05-14T00:00:00.000Z,
120330239996854274,4,1,Aza,168362841022136321,Continued spamming Koala pics in #newhome after being asked to stop.,false,false,,,2017-05-14T00:00:00.000Z,
120330239996854274,5,1,T3R3Z1 PYROP3,192089454305869824,Using Quirks,false,false,,,2017-05-14T00:00:00.000Z,
120330239996854274,6,1,DR4GON LOV3,192089454305869824,Quirking yet a-fucking-gain.,false,false,,,2017-05-14T00:00:00.000Z,
120330239996854274,7,1,Icewolf,146545496192843776,Sent an inflammatory message to Madzci which sparked drama among users,false,false,,,2017-05-13T00:00:00.000Z,
120330239996854274,8,1,Moony,282784540215345153,"Contextless posting in #newhome, did not respond in #judgmenthall",false,false,,,2017-05-13T00:00:00.000Z,
120330239996854274,9,1,doot-is-unbootable,134166550549757952,"Breaking the ""fetishising bans"" rule after another user was scolded for it. Further insolence in #judgmenthall lead to this warning.",false,false,,,2017-05-12T00:00:00.000Z,
120330239996854274,10,1,Grayson (Xorn),143891265283555328,First unban.,true,false,,∞,2017-05-12T00:00:00.000Z,
120330239996854274,11,1,Pec Mons,267461306188169227,First unban.,true,false,,∞,2017-05-12T00:00:00.000Z,
120330239996854274,12,1,Necromancer,299286332314877953,"Random server shill, was foreboden before and said they've read rules",false,false,,,2017-05-10T00:00:00.000Z,
120330239996854274,13,1,Im a dog,228294068159905792,"Posting the same image like 5 times in a row, not responding in #jug",false,false,,,2017-05-09T00:00:00.000Z,
120330239996854274,14,1,Necromancer,299286332314877953,Consistent shitposting after being told multiple times to stop.,false,false,,,2017-05-09T00:00:00.000Z,
120330239996854274,15,1,Necromancer,299286332314877953,Random embed and unrecognized HTML file,false,false,,,2017-05-08T00:00:00.000Z,
120330239996854274,16,1,Computrix,189537671289241602,Incessant minimodding.,false,false,,,2017-05-04T00:00:00.000Z,
120330239996854274,17,1,Inkx,122043518544904192,Constantly shilling himself for a staff position.,false,false,,,2017-05-03T00:00:00.000Z,
120330239996854274,18,1,origami,232535536340828160,Posting NSFW imagery in #newhome.,false,false,,,2017-05-01T00:00:00.000Z,
120330239996854274,19,1,origami,232535536340828160,"Posting random, contextless embeds.",false,false,,,2017-05-01T00:00:00.000Z,
120330239996854274,20,1,Darkshreaders,296440120192532492,Shilling in morse (after being told they can't shill),false,false,,http://i.imgur.com/E9uswCp.png,2017-04-26T00:00:00.000Z,
120330239996854274,21,1,KirbySmasher48_YT,268941936554016768,Posting copypasta on join.,false,false,,,2017-04-23T00:00:00.000Z,
120330239996854274,22,1,Rayhaanlol,283151684757356544,Being toxic and insulting another user over nothing.,false,false,,,2017-04-21T00:00:00.000Z,
120330239996854274,23,1,Omnitrix,179182645014560768,Refusing to stop RPing in #newhome after being told to stop by a moderator.,false,false,,,2017-04-18T00:00:00.000Z,
120330239996854274,24,1,Omnitrix,179182645014560768,Being unneccesarily difficult in #judgmenthall.,false,false,,,2017-04-18T00:00:00.000Z,
120330239996854274,25,1,MugLife,299291226790690817,Posting trypophobia triggers in newhome,false,false,,,2017-04-18T00:00:00.000Z,
120330239996854274,26,1,Korama,295702382346764289,Posting borderline NSFW pictures after being told to stop doing so.,false,false,,,2017-04-17T00:00:00.000Z,
120330239996854274,27,1,Sonic/Riolu,222868188831023104,Random embeds/puns despite being told to stop several times,false,false,,,2017-04-17T00:00:00.000Z,
120330239996854274,28,1,Sans the Dank Skeleton,269669428235468801,Server shilling,false,false,,,2017-04-14T00:00:00.000Z,
120330239996854274,29,1,The Cringe King,222399224891834379,Continued to meme after being told to stop,false,false,,,2017-04-12T00:00:00.000Z,
120330239996854274,30,1,DarkyChan,196698980837490688,Server shilling in DMs on join.,false,false,,,2017-04-09T00:00:00.000Z,
120330239996854274,31,1,DarkyChan,196698980837490688,Server shilled in DMs *again*.,false,false,,,2017-04-09T00:00:00.000Z,
120330239996854274,32,1,Potrock,247965561470976004,Derailing #newhome with contextless memery,false,false,,,2017-04-08T00:00:00.000Z,
120330239996854274,33,1,Angelic,131525678515355648,Threatening to spam NSFW with an alt and then playing it off like it was no big deal in #judgmenthall,false,false,,,2017-04-08T00:00:00.000Z,
120330239996854274,34,1,M~SWATPUMPKIN,137976875417862144,Server shilling in DMs.,false,false,,,2017-04-07T00:00:00.000Z,
120330239996854274,35,1,Hand Man,188813873908809730,"Posted a man taking a shit with pampers, not responding in judgementhall",false,false,,,2017-04-05T00:00:00.000Z,
120330239996854274,36,1,atlas,74768773940256768,being atlas,false,false,,try and see if b1zny can delete his account too,2017-04-01T00:00:00.000Z,
120330239996854274,37,1,SCOOT,161078012161294336,posted alodda dolphins in newham,false,false,,,2017-04-01T00:00:00.000Z,
120330239996854274,38,1,El_Isma,293858750207361026,Server shill,false,false,,,2017-03-29T00:00:00.000Z,
